SCATS_Number,Time,Average_Traffic_Volume
3127,03:15,8.26
3127,03:30,7.49
3127,03:45,7.21
3127,04:00,8.32
3127,04:15,8.60
3127,04:30,10.09
3127,04:45,12.73
3127,05:00,13.88
3127,05:15,17.33
3127,05:30,23.85
3127,05:45,29.42
3127,06:00,44.12
3127,06:15,68.44
3127,06:30,100.45
3127,06:45,128.09
3127,07:00,153.81
3127,07:15,192.05
3127,07:30,201.56
3127,07:45,199.00
3127,08:00,193.76
3127,08:15,201.58
3127,08:30,204.40
3127,08:45,201.68
3127,09:00,196.90
3127,09:15,194.14
3127,09:30,185.88
3127,09:45,184.91
3127,10:00,175.22
3127,10:15,177.74
3127,10:30,179.77
3127,10:45,182.23
3127,11:00,173.46
3127,11:15,178.23
3127,11:30,182.36
3127,11:45,193.13
3127,12:00,192.21
3127,12:15,191.03
3127,12:30,189.62
3127,12:45,188.04
3127,13:00,182.56
3127,13:15,183.40
3127,13:30,181.26
3127,13:45,184.04
3127,14:00,182.62
3127,14:15,190.01
3127,14:30,189.00
3127,14:45,194.95
3127,15:00,202.41
3127,15:15,212.53
3127,15:30,208.14
3127,15:45,211.54
3127,16:00,213.51
3127,16:15,215.33
3127,16:30,218.78
3127,16:45,220.18
3127,17:00,225.71
3127,17:15,240.59
3127,17:30,232.00
3127,17:45,225.94
3127,18:00,222.36
3127,18:15,211.79
3127,18:30,192.12
3127,18:45,182.15
3127,19:00,166.19
3127,19:15,153.31
3127,19:30,132.71
3127,19:45,117.00
3127,20:00,106.22
3127,20:15,97.82
3127,20:30,92.58
3127,20:45,94.33
3127,21:00,94.27
3127,21:15,90.50
3127,21:30,84.82
3127,21:45,82.06
3127,22:00,79.31
3127,22:15,71.36
3127,22:30,69.40
3127,22:45,58.88
3127,23:00,52.15
3127,23:15,43.91
3127,23:30,38.56
3127,23:45,33.65
3180,00:00,20.44
3180,00:15,18.89
3180,00:30,15.18
3180,00:45,13.04
3180,01:00,11.15
3180,01:15,8.87
3180,01:30,8.45
3180,01:45,7.25
3180,02:00,6.86
3180,02:15,6.10
3180,02:30,4.85
3180,02:45,6.65
3180,03:00,5.65
3180,03:15,5.20
3180,03:30,5.55
3180,03:45,5.88
3180,04:00,5.12
3180,04:15,4.95
3180,04:30,6.28
3180,04:45,6.77
3180,05:00,6.85
3180,05:15,9.13
3180,05:30,10.06
3180,05:45,16.29
3180,06:00,18.77
3180,06:15,26.62
3180,06:30,38.43
3180,06:45,50.96
3180,07:00,69.65
3180,07:15,89.84
3180,07:30,111.19
3180,07:45,128.42
3180,08:00,137.71
3180,08:15,149.88
3180,08:30,162.43
3180,08:45,167.80
3180,09:00,124.15
3180,09:15,113.68
3180,09:30,102.37
3180,09:45,103.94
3180,10:00,97.76
3180,10:15,103.97
3180,10:30,105.27
3180,10:45,104.10
3180,11:00,102.04
3180,11:15,108.44
3180,11:30,112.31
3180,11:45,119.72
3180,12:00,112.54
3180,12:15,116.74
3180,12:30,114.11
3180,12:45,113.87
3180,13:00,109.28
3180,13:15,112.91
3180,13:30,110.28
3180,13:45,104.46
3180,14:00,103.32
3180,14:15,113.22
3180,14:30,116.71
3180,14:45,122.51
3180,15:00,132.91
3180,15:15,147.13
3180,15:30,152.88
